Code,mmddyy,Road_segement,Class,Order,Family,Species,UTMzone,Xcoordinate,Ycoordinate,Time,Altitud_m,Land_cover
D50PA81,6/28/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,169704,9951770,12:05,2167,S
D60CO125,7/26/14,Cotundo,Mammalia,Didelphimorphia,Didelphidae,Marmosops sp.,18M,180179,9936688,10:43,1956,S
D60CO126,7/26/14,Cotundo,Aves,Passeriformes,,,18M,180252,9945735,11:02,1886,S
D60PA96,7/26/14,Papallacta,Mammalia,Rodentia,,,17M,822167,9959060,15:52,2882,S
D48PA74,6/21/14,Papallacta,Mammalia,Rodentia,Sciuridae,Notosciurus granatensis,17M,828727,9955704,8:57,2515,S
D72CH218,8/21/14,Chaco,Aves,Passeriformes,Corvidae,Cyanocorax Yncas,18M,179031,9950016,15:05,1870,S/F
D61CO129,7/27/14,Cotundo,Aves,,,,18M,180239,9945728,11:56,1884,S/F
D62CO133,2/8/2014,Cotundo,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,180322,9948819,12:03,1919,S/F
D49CO110,6/22/14,Cotundo,Mammalia,Didelphimorphia,Didelphidae,Metachirus nudicaudatus,18M,180378,9946637,9:57,1874,S/F
D57CO119,7/19/14,Cotundo,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,179119,9941360,11:36,1874,P/S
D59CH181,7/25/14,Chaco,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,179135,9949969,9:55,1854,P/S
D59CO121,7/25/14,Cotundo,Aves,Cuculiformes,Cuculidae,Crotophaga ani,18M,179655,9948683,14:41,1882,P/S
D59CO123,7/25/14,Cotundo,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,180375,9947172,15:56,1845,P/S
D62CO137,2/8/2014,Cotundo,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,180401,9947290,13:24,1841,P/S
D62CO138,2/8/2014,Cotundo,Reptilia,Squamata,Colubridae,Dipsas sp.,18M,180407,9947321,13:26,1837,P/S
D62CH188,2/8/2014,Chaco,Mammalia,Carnivora,Mustelidae,Mustela frenata,18M,186001,9958717,16:29,1586,P/S
D72CH219,8/21/14,Chaco,Reptilia,Squamata,Colubridae,Atractus sp.,18M,186105,9957142,15:22,1606,P/S
D71CH213,8/20/14,Chaco,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,186195,9960968,15:38,1607,P/S
D1PA3,6/3/2014,Papallacta,Aves,Passeriformes,Icteridae,Cacicus sp.,18M,167900,9952701,11:45,2255,F
D13PA27,3/29/14,Papallacta,Aves,Passeriformes,,,18M,173558,9949494,13:51,2603,F
D2PA5,7/3/2014,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,173833,9949214,17:47,1924,F
D1PA2,6/3/2014,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,174101,9948863,11:29,1943,F
D1PA1,6/3/2014,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,174354,9948726,11:21,1908,F
D67PA103,8/15/14,Papallacta,Mammalia,Carnivora,Felidae,Leopardus tigrinus,18M,174748,9948871,12:06,1884,F
D11PA21,3/27/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,174872,9948914,15:43,1904,F
D66PA102,10/8/2014,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,174879,9948946,9:36,2072,F
D40CO88,5/31/14,Cotundo,Mammalia,Rodentia,Cricetidae,,18M,177895,9948802,11:51,1918,F
D40CO89,5/31/14,Cotundo,Reptilia,Squamata,Colubridae,,18M,177897,9948766,11:59,1923,F
D14CH37,3/30/14,Chaco,Reptilia,Squamata,Colubridae,Dipsas peruana,18M,179135,9949954,12:19,1865,F
D45CO105,6/14/14,Cotundo,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,179137,9941607,13:48,1887,F
D67C0147,8/15/14,Cotundo,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,179138,9941604,11:22,1888,F
D24CO33,4/18/14,Cotundo,Reptilia,Squamata,Colubridae,,18M,180340,9945919,10:47,1861,F
D32CO56,4/5/2014,Cotundo,Mammalia,Rodentia,Cricetidae,,18M,180444,9946508,10:24,1862,F
D39CO83,5/30/14,Cotundo,Amphibia,Gymnophiona,Caeciliidae,Caecilia sp.,18M,180454,9947497,15:55,1845,F
D19CO23,11/4/2014,Cotundo,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,180592,9936263,11:07,1969,F
D72CO155,8/21/14,Cotundo,Mammalia,Chiroptera,Vespertilionidae,,18M,180876,9947768,9:59,1875,F
D39CO86,5/30/14,Cotundo,Reptilia,Squamata,,,18M,180909,9947580,16:00,1848,F
D40CO90,5/31/14,Cotundo,Reptilia,Squamata,Colubridae,Chironius sp.,18M,180910,9947881,12:10,1881,F
D32CO60,4/5/2014,Cotundo,Aves,Passeriformes,Emberizidae,Zonotrichia capensis,18M,183015,9933976,11:06,2047,F
D5CO7,10/3/2014,Cotundo,Reptilia,Squamata,N/I,N/I,18M,183934,9931532,12:07,2226,F
D23CO27,4/17/14,Cotundo,Reptilia,Squamata,Colubridae,Chironius sp.,18M,183970,9931273,12:55,2285,F
D30CO48,2/5/2014,Cotundo,Reptilia,Squamata,Colubridae,,18M,184054,9931779,13:16,2195,F
D67CH209,8/15/14,Chaco,Mammalia,Rodentia,,,18M,184251,9955180,16:37,1670,F
D15CO19,7/4/2014,Cotundo,Amphibia,Gymnophiona,Caeciliidae,Caecilia sp.,18M,184753,9931085,15:12,2233,F
D7CO10,12/3/2014,Cotundo,Amphibia,Gymnophiona,Caeciliidae,Caecilia sp.,18M,184984,9931163,14:58,2223,F
D2CH6,7/3/2014,Chaco,Aves,Passeriformes,Corvidae,Cyanocorax Yncas,18M,185718,9956159,12:22,1622,F
D3CH17,8/3/2014,Chaco,Aves,Passeriformes,Corvidae,Cyanocorax Yncas,18M,186148,9958582,14:18,1595,F
D3CH16,8/3/2014,Chaco,Mammalia,N/I,N/I,N/I,18M,186159,9958592,14:17,1599,F
D34CH82,5/16/14,Chaco,Mammalia,Chiroptera,,,18M,186166,9958662,11:37,1601,F
D34CH81,5/16/14,Chaco,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,186179,9958649,11:34,1592,F
D39CO82,5/30/14,Cotundo,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,186273,9931494,15:01,2157,F
D47CH139,6/20/14,Chaco,Reptilia,Squamata,Colubridae,Atractus sp.,18M,190098,9966513,10:04,1504,F
D15CH41,7/4/2014,Chaco,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,190177,9966871,16:59,1523,F
D15CH40,7/4/2014,Chaco,Reptilia,Squamata,Colubridae,Atractus sp.,18M,190196,9966910,16:57,1531,F
D54CH163,11/7/2014,Chaco,Aves,,,,18M,190736,9967558,10:33,1587,F
D55CH167,12/7/2014,Chaco,Aves,Passeriformes,Emberizidae,Zonotrichia capensis,18M,190862,9968017,11:51,1618,F
D52CH160,5/7/2014,Chaco,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,190941,9966840,14:07,1727,F
D47CH138,6/20/14,Chaco,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,190950,9966861,9:33,1732,F
D20CH51,12/4/2014,Chaco,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,191004,9967614,10:06,1692,F
D63CH192,3/8/2014,Chaco,Reptilia,Squamata,Colubridae,Dipsas sp.,18M,191177,9967179,10:48,1735,F
D72CH220,8/21/14,Chaco,Mammalia,Chiroptera,,,18M,191593,9968000,16:19,1793,F
D20CH52,12/4/2014,Chaco,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,191856,9968408,10:34,1847,F
D16CH44,8/4/2014,Chaco,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,191861,9968414,10:27,1811,F
D3CH15,8/3/2014,Chaco,Mammalia,Carnivora,Procyonidae,Potos flavus,18M,191897,9968460,13:15,1855,F
D5CH19,10/3/2014,Chaco,Reptilia,Squamata,Colubridae,,18M,191999,9968664,7:50,1844,F
D30CH70,2/5/2014,Chaco,Reptilia,Squamata,Colubridae,Clelia sp.,18M,192418,9969392,10:43,1914,F
D11PA25,3/27/14,Papallacta,Mammalia,Carnivora,Mephitidae,Conepatus semistriatus,17M,821838,9959112,17:14,2920,F
D3PA7,8/3/2014,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,17M,824380,9959377,7:57,2780,F
D37PA54,5/24/14,Papallacta,Mammalia,Carnivora,Mustelidae,Mustela frenata,17M,825022,9958936,13:04,2750,F
D71PA120,8/20/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,17M,829910,9954630,14:27,2472,F
D54PA88,11/7/2014,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,17M,832768,9953478,12:15,2399,F
D62PA99,2/8/2014,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,166687,9952742,11:16,2327,S/F
D69PA109,8/18/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,168053,9952613,15:39,2242,S/F
D69PA108,8/18/14,Papallacta,Aves,Passeriformes,,,18M,173875,9949167,15:22,1929,S/F
D60PA93,7/26/14,Papallacta,Aves,Passeriformes,,,18M,174196,9948710,15:05,1908,S/F
D53PA87,6/7/2014,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,174661,9948835,9:24,1891,S/F
D60CO127,7/26/14,Cotundo,Amphibia,Gymnophiona,Caeciliidae,Caecilia sp.,18M,180228,9945686,11:06,1878,S/F
D52CH159,5/7/2014,Chaco,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,186110,9958415,13:39,1580,S/F
D67CH207,8/15/14,Chaco,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,192335,9969266,15:58,1900,S/F
D70PA114,8/19/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,17M,820380,9958371,11:38,2975,S/F
D72PA123,8/21/14,Papallacta,Aves,Passeriformes,,,17M,820791,9958685,12:53,2952,S/F
D45PA70,6/14/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,17M,824573,9959348,9:07,2809,S/F
D62PA97,2/8/2014,Papallacta,Aves,Passeriformes,Turdidae,Platycichla leucops,17M,826308,9957736,10:48,2681,S/F
D39CO85,5/30/14,Cotundo,Amphibia,Gymnophiona,Caeciliidae,Caecilia sp.,18M,180532,9947583,16:01,1866,U/F
D39CO84,5/30/14,Cotundo,Amphibia,Gymnophiona,Caeciliidae,Caecilia sp.,18M,180536,9947580,16:00,1848,U/F
D20CO24,12/4/2014,Cotundo,Mammalia,Rodentia,Sciuridae,Notosciurus granatensis,18M,179593,9939801,12:47,1922,F/C
D15CO18,7/4/2014,Cotundo,Aves,,,,18M,182711,9934381,14:29,2022,F/C
D5PA10,10/3/2014,Papallacta,Reptilia,Squamata,Colubridae,Chironius sp.,18M,168160,9952632,14:13,2296,P/F
D15PA29,7/4/2014,Papallacta,Reptilia,Squamata,Colubridae,,18M,168867,9952868,12:20,2222,P/F
D71PA117,8/20/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,168870,9952864,13:19,2213,P/F
D37PA57,5/24/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,169097,9952804,14:07,2207,P/F
D71PA121,8/20/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,169212,9952580,14:43,2210,P/F
D22PA33,4/16/14,Papallacta,Mammalia,Didelphimorphia,Didelphidae,Didelphis pernigra,18M,170203,9952127,9:37,2185,P/F
